Time,eth0_in下载,eth0_out上传
2026/6/14 18:26,57.4 kb/s,417 kb/s
2026/6/14 18:27,105 kb/s,717 kb/s
2026/6/14 18:27,113 kb/s,852 kb/s
2026/6/14 18:28,140 kb/s,925 kb/s
2026/6/14 18:28,150 kb/s,1.08 Mb/s
2026/6/14 18:29,85.1 kb/s,694 kb/s
2026/6/14 18:29,98.7 kb/s,758 kb/s
2026/6/14 18:30,88.4 kb/s,751 kb/s
2026/6/14 18:30,124 kb/s,744 kb/s
2026/6/14 18:31,89.0 kb/s,796 kb/s
2026/6/14 18:31,94.1 kb/s,747 kb/s
2026/6/14 18:32,82.4 kb/s,730 kb/s
2026/6/14 18:32,82.6 kb/s,846 kb/s
2026/6/14 18:33,83.7 kb/s,748 kb/s
2026/6/14 18:33,83.9 kb/s,712 kb/s
2026/6/14 18:34,82.5 kb/s,820 kb/s
2026/6/14 18:34,78.4 kb/s,725 kb/s
2026/6/14 18:35,81.4 kb/s,721 kb/s
2026/6/14 18:35,76.7 kb/s,731 kb/s
2026/6/14 18:36,84.6 kb/s,743 kb/s
2026/6/14 18:36,96.8 kb/s,758 kb/s
2026/6/14 18:37,88.8 kb/s,746 kb/s
2026/6/14 18:37,78.5 kb/s,719 kb/s
2026/6/14 18:38,83.0 kb/s,750 kb/s
2026/6/14 18:38,82.6 kb/s,733 kb/s
2026/6/14 18:39,92.4 kb/s,737 kb/s
2026/6/14 18:39,81.4 kb/s,737 kb/s
2026/6/14 18:40,83.8 kb/s,740 kb/s
2026/6/14 18:40,83.2 kb/s,766 kb/s
2026/6/14 18:41,78.9 kb/s,742 kb/s
2026/6/14 18:41,78.5 kb/s,703 kb/s
2026/6/14 18:42,87.0 kb/s,622 kb/s
2026/6/14 18:42,118 kb/s,677 kb/s
2026/6/14 18:43,84.6 kb/s,638 kb/s
2026/6/14 18:43,70.7 kb/s,588 kb/s
2026/6/14 18:44,94.3 kb/s,591 kb/s
2026/6/14 18:44,104 kb/s,736 kb/s
2026/6/14 18:45,66.1 kb/s,539 kb/s
2026/6/14 18:45,70.5 kb/s,619 kb/s
2026/6/14 18:46,76.7 kb/s,671 kb/s
2026/6/14 18:46,80.7 kb/s,594 kb/s
2026/6/14 18:47,77.4 kb/s,614 kb/s
2026/6/14 18:47,98.5 kb/s,623 kb/s
2026/6/14 18:48,71.1 kb/s,602 kb/s
2026/6/14 18:48,77.1 kb/s,636 kb/s
2026/6/14 18:49,79.1 kb/s,591 kb/s
2026/6/14 18:49,99.5 kb/s,625 kb/s
2026/6/14 18:50,109 kb/s,678 kb/s
2026/6/14 18:50,81.8 kb/s,632 kb/s
2026/6/14 18:51,75.6 kb/s,588 kb/s
2026/6/14 18:51,35.8 kb/s,290 kb/s
